model,checkpoint,sintel-clean-epe,sintel-clean-outlier,sintel-final-epe,sintel-final-outlier,kitti-2012-epe,kitti-2012-outlier,kitti-2015-epe,kitti-2015-outlier
irr_pwc,kitti,7.538,14.247,8.428,18.002,1.11,3.428,1.435,4.868
irr_pwc,chairs_occ,2.292,6.996,3.955,11.184,3.496,17.025,9.687,29.548
irr_pwc,things,1.835,5.994,3.392,10.17,2.742,12.662,7.822,24.475
irr_pwc,sintel,1.843,5.296,2.422,7.868,2.365,8.206,7.146,18.662
irr_pwcnet,things,3.128,9.144,4.413,12.918,6.103,22.715,14.855,36.72
irr_pwcnet_irr,things,2.748,8.808,4.019,12.846,4.854,22.949,12.417,35.509
lcv_raft,chairs,2.331,7.311,4.135,11.401,4.647,29.915,9.61,38.444
lcv_raft,things,1.83,5.069,2.876,8.541,2.432,11.102,5.831,18.928
liteflownet,kitti,4.594,11.889,5.945,15.726,1.101,3.849,1.737,6.243
liteflownet,sintel,1.498,5.039,1.894,7.4,3.47,12.322,9.993,23.174
liteflownet,things,2.583,7.496,4.062,11.906,4.275,18.746,10.64,30.425
liteflownet2,sintel,1.557,5.421,1.946,7.671,1.596,5.853,3.12,9.625
liteflownet2_pseudoreg,kitti,4.578,11.928,5.712,15.728,0.98,3.182,1.355,4.482
liteflownet3,sintel,1.451,5.094,1.917,7.328,1.619,6.355,3.302,11.126
liteflownet3_pseudoreg,kitti,4.455,11.439,5.6,15.297,0.978,3.289,1.388,4.717
liteflownet3s,sintel,1.569,5.289,2.075,7.619,1.78,7.267,3.602,12.277
liteflownet3s_pseudoreg,kitti,4.275,10.951,5.518,14.851,1.026,3.486,1.524,5.279
llaflow,chairs,2.296,6.791,4.52,11.233,4.479,27.4,9.748,36.588
llaflow,things,1.275,3.724,2.725,7.314,1.882,8.544,4.702,16.33
llaflow,sintel,0.554,2.258,0.846,3.809,1.317,4.458,1.31,4.581
llaflow,kitti,3.815,8.789,5.773,12.722,1.326,4.4,0.642,1.598
llaflow_raft,chairs,2.176,6.862,4.832,12.643,5.868,38.753,12.314,44.8
llaflow_raft,things,1.392,3.95,2.609,7.404,2.101,9.128,4.916,16.941
llaflow_raft,sintel,0.623,2.502,0.991,4.353,1.257,4.285,1.364,4.806
llaflow_raft,kitti,5.635,10.822,8.36,15.016,1.292,4.352,0.579,1.327
maskflownet,sintel,1.443,4.736,1.922,6.915,1.462,4.938,1.846,6.292
maskflownet,kitti,3.576,9.122,4.81,12.526,0.965,2.953,1.626,6.088
maskflownet_s,sintel,1.502,5.291,2.002,7.475,1.708,6.071,2.445,9.4
maskflownet_s,things,2.535,8.117,3.884,12.012,4.383,20.73,10.773,32.764
matchflow,chairs,2.375,6.867,4.581,11.613,5.635,29.183,12.956,39.803
matchflow,kitti,2.984,8.547,4.585,13.2,1.125,3.71,0.531,1.111
matchflow,sintel,0.494,2.012,0.796,3.587,1.158,3.937,1.24,4.307
matchflow,things,1.095,3.367,2.416,7.016,1.738,8.001,4.075,15.363
matchflow_raft,things,1.15,3.502,2.633,7.131,1.814,7.042,4.159,13.317
memflow,things,0.946,3.117,2.19,6.444,1.73,6.814,4.098,14.11
memflow,sintel,0.354,1.471,0.496,2.225,1.137,3.738,1.218,4.075
memflow,kitti,2.305,7.392,3.764,11.223,1.115,3.492,0.599,1.245
memflow,spring,0.723,2.909,1.576,5.468,1.654,6.615,3.01,11.572
memflow_t,kitti,2.237,7.004,3.272,10.389,1.094,3.518,0.684,1.74
memflow_t,sintel,0.396,1.731,0.558,2.646,1.205,4.097,1.322,4.503
memflow_t,things,0.855,3.108,2.065,6.633,1.822,7.527,4.619,14.613
memflow_t,things_kitti,0.906,3.132,2.12,6.57,1.615,6.433,3.736,13.169
ms_raft+,mixed,0.648,1.939,1.107,4.172,1.015,3.054,0.679,1.724
neuflow,things,1.66,6.148,3.126,10.424,5.056,20.281,11.111,30.918
neuflow,sintel,0.988,4.411,1.294,6.463,2.297,9.489,2.06,9.539
neuflow2,mixed,0.999,3.733,1.661,6.513,1.293,4.691,1.666,6.106
neuflow2,sintel,0.801,3.175,1.321,5.539,1.474,5.281,1.897,6.594
neuflow2,things,1.265,4.176,2.767,8.054,1.725,7.089,4.065,14.515
pwcnet,sintel,1.849,6.164,2.338,8.387,1.93,6.921,3.122,10.184
pwcnet,things,2.643,8.811,4.059,12.592,4.042,20.243,10.288,33.014
pwcnet_nodc,sintel,2.231,8.422,2.765,11.29,3.234,15.438,6.093,21.75
pwcnet_nodc,things,3.329,11.639,4.769,15.416,5.29,25.053,12.274,36.11
raft,chairs,2.286,6.984,4.536,12.069,4.717,29.809,9.88,36.698
raft,things,1.458,4.173,2.684,7.721,2.135,9.257,5.018,17.046
raft,sintel,0.763,2.855,1.218,4.936,1.338,4.587,1.555,5.573
raft,kitti,4.544,10.511,6.157,14.794,1.283,4.272,0.643,1.58
raft_small,things,2.123,6.684,3.256,9.933,3.075,14.645,7.472,24.658
rapidflow,chairs,2.502,7.502,3.672,11.028,4.087,22.748,10.42,33.46
rapidflow,things,1.575,4.73,2.893,8.573,2.323,9.557,5.872,17.72
rapidflow,sintel,0.949,3.405,1.424,5.631,1.361,4.973,1.594,5.827
rapidflow,kitti,2.435,6.909,3.502,10.481,1.379,4.842,1.069,3.533
rapidflow_it1,kitti,4.947,23.814,5.723,25.253,3.554,25.472,3.37,21.354
rapidflow_it1,sintel,2.918,15.477,3.274,17.263,3.886,28.26,5.106,33.041
rapidflow_it1,things,4.089,20.213,5.188,22.722,8.508,50.773,15.699,56.991
rapidflow_it1,chairs,5.039,24.549,5.904,26.49,11.006,58.75,20.895,63.759
rapidflow_it2,chairs,3.684,14.409,4.73,17.53,6.8,37.237,15.684,49.075
rapidflow_it2,things,2.762,11.123,3.963,14.561,5.078,26.636,11.138,37.792
rapidflow_it2,sintel,1.959,9.047,2.375,11.183,2.374,11.915,3.254,16.803
rapidflow_it2,kitti,3.683,14.23,4.631,16.869,2.329,11.845,2.289,11.957
rapidflow_it3,chairs,3.011,9.192,4.202,12.967,5.469,24.867,13.685,37.487
rapidflow_it3,things,2.026,6.365,3.355,10.346,3.692,15.431,9.169,25.49
rapidflow_it3,sintel,1.286,4.683,1.815,7.203,1.777,7.066,2.347,9.141
rapidflow_it3,kitti,3.063,9.33,4.142,12.819,1.768,7.133,1.504,5.997
rapidflow_it6,sintel,1.014,3.647,1.492,5.915,1.431,5.457,1.688,6.38
rapidflow_it6,kitti,2.582,7.485,3.624,10.983,1.45,5.308,1.112,3.815
rapidflow_it6,chairs,2.61,7.815,3.806,11.566,4.47,23.403,11.497,35.051
rapidflow_it6,things,1.685,5.117,2.995,9.009,2.616,10.722,6.768,19.857
rpknet,chairs,2.406,7.341,3.588,10.697,3.965,22.812,10.878,33.835
rpknet,kitti,1.478,4.605,2.37,7.86,1.171,3.817,0.946,2.904
rpknet,sintel,0.552,2.19,0.813,3.659,1.192,4.112,1.257,4.273
rpknet,things,1.12,3.516,2.449,7.08,1.674,6.817,3.783,12.998
scopeflow,chairs,2.529,7.188,3.908,10.923,3.793,17.146,10.747,30.812
scopeflow,things,1.847,5.997,3.291,10.02,2.76,12.263,8.268,24.893
scopeflow,kitti,8.259,15.355,10.676,18.921,0.911,2.971,1.308,4.309
scopeflow,sintel,1.615,5.026,2.477,7.797,1.984,6.946,5.795,16.019
sea_raft_l,spring,1.197,3.074,2.207,6.131,2.342,7.856,4.371,12.424
sea_raft_l,kitti,0.617,2.025,0.931,3.324,1.049,3.219,0.817,2.267
sea_raft_l,things,1.226,3.116,3.444,7.053,2.061,7.898,3.723,12.377
sea_raft_l,chairs,2.441,5.422,9.272,11.951,5.292,31.121,10.5,37.727
sea_raft_l,tartan,2.316,7.701,5.549,15.499,1.276,4.205,3.306,9.977
sea_raft_l,sintel,0.444,1.597,0.613,2.292,1.086,3.391,0.892,2.571
sea_raft_m,tartan,2.366,6.752,5.203,14.289,1.385,4.467,3.568,9.887
sea_raft_m,chairs,2.27,5.382,5.744,11.259,4.359,25.483,9.159,33.925
sea_raft_m,things,1.272,3.235,3.853,7.343,1.971,7.406,4.293,13.935
sea_raft_m,sintel,0.434,1.573,0.584,2.197,1.125,3.538,0.88,2.551
sea_raft_m,kitti,0.646,2.136,0.958,3.49,1.078,3.373,0.808,2.213
sea_raft_m,spring,1.389,3.436,2.3,6.455,2.869,8.532,5.812,14.49
sea_raft_s,tartan,2.338,7.27,4.963,14.159,1.499,4.69,3.833,11.766
sea_raft_s,chairs,2.052,5.406,4.711,10.625,4.401,27.262,9.579,36.224
sea_raft_s,things,1.283,3.34,3.729,7.307,2.001,8.172,4.433,14.694
sea_raft_s,sintel,0.547,1.92,0.783,3.009,1.153,3.754,1.054,3.151
sea_raft_s,kitti,1.067,3.072,1.756,5.553,1.093,3.589,0.935,2.7
sea_raft_s,spring,1.697,4.064,2.573,7.095,3.552,10.453,7.906,18.163
separableflow,things,1.295,4.103,2.593,7.697,2.094,8.673,4.733,15.977
separableflow,sintel,0.642,2.747,0.956,4.516,1.509,4.889,1.468,5.337
separableflow,kitti,3.1,9.298,5.13,15.2,0.761,2.218,0.62,1.455
separableflow,universal,0.685,2.862,1.016,4.828,1.027,3.346,1.103,3.816
skflow,things,1.205,3.744,2.441,7.168,1.758,7.727,4.238,15.127
skflow,sintel,0.524,2.261,0.782,3.62,1.2,4.036,1.227,4.292
skflow,kitti,2.614,8.148,4.003,12.221,1.201,3.897,0.519,1.036
splatflow,kitti,0.657,2.716,1.69,5.781,6.229,47.912,7.645,45.83
starflow,things,1.817,6.123,3.452,10.417,3.868,16.539,9.316,27.384
starflow,sintel,1.599,5.442,2.056,8.081,3.736,13.214,8.155,23.316
starflow,kitti,5.07,14.814,7.097,18.895,1.78,6.607,2.951,12.217
vcn,kitti,5.052,12.651,7.499,17.272,0.937,2.713,1.424,4.893
vcn,chairs,2.816,8.552,4.013,12.0,3.976,18.566,10.268,31.823
vcn,things,2.207,7.3,3.694,11.394,3.151,13.986,8.119,24.956
vcn,sintel,1.671,6.111,2.44,8.892,1.981,8.601,4.213,16.951
vcn_small,chairs,3.22,11.211,4.395,14.54,4.966,28.116,11.863,40.397
vcn_small,things,2.759,9.877,4.306,13.872,3.757,20.483,8.879,31.81
videoflow_bof,things_288960,1.155,3.669,2.394,7.196,5.172,15.489,17.009,31.361
videoflow_bof,sintel,0.37,1.58,0.54,2.503,1.598,5.416,2.25,8.935
videoflow_bof,kitti,1.847,6.512,3.139,10.45,6.329,19.59,6.73,21.226
videoflow_mof,sintel,0.432,1.845,0.621,2.964,1.839,6.695,2.893,10.771
videoflow_mof,things,1.057,3.383,2.474,6.973,7.524,25.455,23.696,45.155
videoflow_mof,kitti,2.621,8.23,3.71,12.518,4.493,12.347,7.27,16.91
videoflow_mof,things_288960,1.23,3.713,2.702,7.328,4.238,16.127,13.215,27.796
