model,checkpoint,sintel-clean,sintel-final,kitti-2012,kitti-2015
pwcnet,sintel,1.849,2.338,1.93,3.122
pwcnet,things,2.643,4.059,4.042,10.288
pwcnet_nodc,sintel,2.231,2.765,3.234,6.093
pwcnet_nodc,things,3.329,4.769,5.29,12.274
raft,chairs,2.286,4.536,4.717,9.88
raft,things,1.458,2.684,2.135,5.018
raft,sintel,0.763,1.218,1.338,1.555
raft,kitti,4.544,6.157,1.283,0.643
raft_small,things,2.123,3.256,3.075,7.472
rapidflow,chairs,2.502,3.672,4.087,10.42
rapidflow,things,1.575,2.893,2.323,5.872
rapidflow,sintel,0.949,1.424,1.361,1.594
rapidflow,kitti,2.435,3.502,1.379,1.069
rapidflow_it1,kitti,4.947,5.723,3.554,3.37
rapidflow_it1,sintel,2.918,3.274,3.886,5.106
rapidflow_it1,things,4.089,5.188,8.508,15.699
rapidflow_it1,chairs,5.039,5.904,11.006,20.895
rapidflow_it2,chairs,3.684,4.73,6.8,15.684
rapidflow_it2,things,2.762,3.963,5.078,11.138
rapidflow_it2,sintel,1.959,2.375,2.374,3.254
rapidflow_it2,kitti,3.683,4.631,2.329,2.289
rapidflow_it3,chairs,3.011,4.202,5.469,13.685
rapidflow_it3,things,2.026,3.355,3.692,9.169
rapidflow_it3,sintel,1.286,1.815,1.777,2.347
rapidflow_it3,kitti,3.063,4.142,1.768,1.504
rapidflow_it6,sintel,1.014,1.492,1.431,1.688
rapidflow_it6,kitti,2.582,3.624,1.45,1.112
rapidflow_it6,chairs,2.61,3.806,4.47,11.497
rapidflow_it6,things,1.685,2.995,2.616,6.768
rpknet,chairs,2.406,3.588,3.965,10.878
rpknet,kitti,1.478,2.37,1.171,0.946
rpknet,sintel,0.552,0.813,1.192,1.257
rpknet,things,1.12,2.449,1.674,3.783
scopeflow,chairs,2.529,3.908,3.793,10.747
scopeflow,things,1.847,3.291,2.76,8.268
scopeflow,kitti,8.259,10.676,0.911,1.308
scopeflow,sintel,1.615,2.477,1.984,5.795
sea_raft_l,spring,1.197,2.207,2.342,4.371
sea_raft_l,kitti,0.617,0.931,1.049,0.817
sea_raft_l,things,1.226,3.444,2.061,3.723
sea_raft_l,chairs,2.441,9.272,5.292,10.5
sea_raft_l,tartan,2.316,5.549,1.276,3.306
sea_raft_l,sintel,0.444,0.613,1.086,0.892
sea_raft_m,tartan,2.366,5.203,1.385,3.568
sea_raft_m,chairs,2.27,5.744,4.359,9.159
sea_raft_m,things,1.272,3.853,1.971,4.293
sea_raft_m,sintel,0.434,0.584,1.125,0.88
sea_raft_m,kitti,0.646,0.958,1.078,0.808
sea_raft_m,spring,1.389,2.3,2.869,5.812
sea_raft_s,tartan,2.338,4.963,1.499,3.833
sea_raft_s,chairs,2.052,4.711,4.401,9.579
sea_raft_s,things,1.283,3.729,2.001,4.433
sea_raft_s,sintel,0.547,0.783,1.153,1.054
sea_raft_s,kitti,1.067,1.756,1.093,0.935
sea_raft_s,spring,1.697,2.573,3.552,7.906
separableflow,things,1.295,2.593,2.094,4.733
separableflow,sintel,0.642,0.956,1.509,1.468
separableflow,kitti,3.1,5.13,0.761,0.62
separableflow,universal,0.685,1.016,1.027,1.103
skflow,things,1.205,2.441,1.758,4.238
skflow,sintel,0.524,0.782,1.2,1.227
skflow,kitti,2.614,4.003,1.201,0.519
splatflow,kitti,0.657,1.69,6.229,7.645
starflow,things,1.817,3.452,3.868,9.316
starflow,sintel,1.599,2.056,3.736,8.155
starflow,kitti,5.07,7.097,1.78,2.951
vcn,kitti,5.052,7.499,0.937,1.424
vcn,chairs,2.816,4.013,3.976,10.268
vcn,things,2.207,3.694,3.151,8.119
vcn,sintel,1.671,2.44,1.981,4.213
vcn_small,chairs,3.22,4.395,4.966,11.863
vcn_small,things,2.759,4.306,3.757,8.879
videoflow_bof,things_288960,1.155,2.394,5.172,17.009
videoflow_bof,sintel,0.37,0.54,1.598,2.25
videoflow_bof,kitti,1.847,3.139,6.329,6.73
videoflow_mof,sintel,0.432,0.621,1.839,2.893
videoflow_mof,things,1.057,2.474,7.524,23.696
videoflow_mof,kitti,2.621,3.71,4.493,7.27
videoflow_mof,things_288960,1.23,2.702,4.238,13.215
